"法人の名称フリガナ","法人の名称","法人区分","行政庁","郵便番号","都道府県","主たる事務所の住所","代表電話番号","代表者の氏名","ホームページアドレス","事業年度","事業の種類","事業の概要","税額控除に係る証明","有効期間"
"コウエキシャダンホウジンヒョウゴコウギョウカイ","公益社団法人兵庫工業会","公益社団法人","兵庫県","650-0011","兵庫県","神戸市中央区下山手通６丁目３番２８号兵庫県中央労働センター３階","078-361-5667","宮脇　新也","https://www.hyogo-ia.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","兵庫県工業の振興を図り、もって地域社会の安定的で調和ある発展に寄与するために、
産業技術に関する人材の育成及び指導、産業技術の交流の推進、情報又は資料の収集
及び提供、関係機関との連絡調整を実施している。","なし",""
"コウエキシャダンホウジンホッカイドウチホウジチケンキュウショ","公益社団法人北海道地方自治研究所","公益社団法人","北海道","060-0806","北海道","札幌市北区北六条西７丁目５番地３自治労会館内","011-747-4666","山崎　幹根","http://www.hokkaido-jichiken.jp","0401～0331","学術及び科学技術の振興を目的とする事業
地域社会の健全な発展を目的とする事業","地方自治に関する調査・研究及び政策提言や情報・資料の収集及び提供、講演会・講座・セミナー・シンポジウム等の開催、機関紙及び図書の刊行など。","なし",""
"コウエキシャダンホウジンニホンドウブツエンスイゾクカンキョウカイ","公益社団法人日本動物園水族館協会","公益社団法人","内閣府","110-8567","東京都","台東区台東四丁目２３番１０号ヴェラハイツ４階","03-3837-0211","村田　浩一","https://www.jaza.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","動物園水族館の発展振興を図ることにより、文化の発展と科学技術の振興、自然環境の保護保全に貢献し、人と自然が共生する社会の実現に寄与することを目的としている。毎年度これらの目的を実現するために調査研究事業、教育普及事業、種保存事業を実施している。","なし",""
"コウエキザイダンホウジンマヤクカクセイザイランヨウボウシセンター","公益財団法人麻薬・覚せい剤乱用防止センター","公益財団法人","内閣府","107-0052","東京都","港区赤坂２丁目４番１号","03-5544-8436","藤野　彰","http://www.dapc.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
犯罪の防止又は治安の維持を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業","麻薬・覚せい剤等の薬物乱用を防止するため、青少年を中心に薬物に関する正しい知識を普及啓発する事業及び医療用麻薬の適正使用を推進する事業","あり","2023-10-12～2028-10-11"
"コウエキザイダンホウジンタニカワネツギジュツシンコウキキン","公益財団法人谷川熱技術振興基金","公益財団法人","内閣府","550-0001","大阪府","大阪市西区土佐堀１丁目６番２０号新栄ビル８０２","06-6444-2120","谷川　寛","https://www.disclo-koeki.org/04a/00707/index.html","0401～0331","学術及び科学技術の振興を目的とする事業","工業炉・燃焼装置等及びこれに関連する装置・部品・原材料等の熱技術及び生産技術の研究に対する助成・援助、表彰等を行うと共に、その成果の普及啓発を図ることにより、我が国の産業及び経済の健全な発展に寄与する","なし",""
"コウエキザイダンホウジンニッカンブンカキョウカイ","公益財団法人日韓文化協会","公益財団法人","内閣府","169-0075","東京都","新宿区高田馬場４丁目１番７号","03-6844-8408","倉田　信靖","http://www.nikkanbunkakyokai.or.jp/","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","日韓両国民相互の協力により日韓文化の交流、政治、経済、社会に関する情報交換を行い、もって日韓両国民の相互理解の促進と親善に寄与することを目的とする事業。","あり","2023-10-01～2028-09-30"
"コウエキザイダンホウジンフッコウカイ","公益財団法人復光会","公益財団法人","内閣府","273-0001","千葉県","船橋市市場３丁目３番１号","047-422-3509","松本　雄策","https://www.soubu-hp.or.jp/fukkoukai/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
犯罪の防止又は治安の維持を目的とする事業
地域社会の健全な発展を目的とする事業","すべての人が精神的・肉体的・社会的に健康であることを希求し、特に精神の不健康状態を予防し、かつ有効適切なる医療・介護・福祉及び研究を行い、もって精神保健を強化し、人類の幸福に貢献しています。","なし",""
"コウエキシャダンホウジンアキタケンエイヨウシカイ","公益社団法人秋田県栄養士会","公益社団法人","秋田県","010-0922","秋田県","秋田市旭北栄町１番５号秋田県社会福祉会館６階","018-800-6708","栗盛　寿美子","https://www.akita-eiyou.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
高齢者の福祉の増進を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","県民の健康増進及び栄養改善に関する知識の普及を行い、併せて管理栄養士・栄養士の資質向上を図り、もって県民の健康及び福祉の増進に寄与することを目的とする。","なし",""
"コウエキザイダンホウジンヤイヅシシンコウコウシャ","公益財団法人焼津市振興公社","公益財団法人","静岡県","425-0071","静岡県","焼津市三ケ名１５５０番地","054-627-3111","吉永　律子","http://www.yaizu-kosya.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","焼津市が設置する公の施設等を活用して各種文化事業に関することを行い、もって市民サービスの向上及び市民の福祉の増進に寄与することを目的とする事業。","なし",""
"コウエキザイダンホウジン　クマモトワイエムシーエー","公益財団法人熊本ＹＭＣＡ","公益財団法人","熊本県","860-0006","熊本県","熊本市中央区段山本町4番1","096-353-6397","伊藤　眞太郎","http://www.kumamoto-ymca.or.jp","0401～0331","児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","（１）　教育、スポーツ、自然体験を目的とする事業
（２）　子ども英語、アフタースクール、発達障がい支援、幼児教育などの事業
（３）　勤労者の余暇生活や健康増進などの勤労者の福祉の向上を目的とする事業
（４）　高齢者の健康増進・健康啓発、生きがい活動支援などの高齢者の福祉の増進を目的とする事業
（５）　国際交流、国際親善などを通して国際相互理解の推進を目的とする事業
（６）　地域奉仕活動など地域社会の健全な発展を目的とする事業","あり","2023-08-03～2028-08-02"
"コウエキザイダンホウジンヒロシマケンカンコクショウガッカイ","公益財団法人広島県韓国奨学会","公益財団法人","広島県","732-0055","広島県","広島市東区東蟹屋町７番９号広島県韓国奨学会館内","082-264-2345","李　英俊","http://www.mindan-h.org/mhhome.files/shougaku.files/shougaku.htm","0401～0331","学術及び科学技術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","公益財団法人広島県韓国奨学会_kana","なし",""
"コウエキシャダンホウジン　ニホンエイヨウシカイ","公益社団法人日本栄養士会","公益社団法人","内閣府","105-0004","東京都","港区新橋５丁目１３番５号","03-5425-6555","中村　丁次","https://www.dietitian.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","食と栄養の科学の振興、国民の食事をとおした健康づくりの心強い伴侶となる管理栄養士・栄養士の育成、国民の食生活の自律の支援、健全な食環境の整備、国際公衆衛生の向上","なし",""
"コウエキザイダンホウジンニホンセンインコヨウソクシンセンター","公益財団法人日本船員雇用促進センター","公益財団法人","内閣府","104-0043","東京都","中央区湊１丁目６番１１号ＡＣＮ八丁堀ビル","03-3523-5990","内藤　忠顕","https://www.secoj.com/","0401～0331","勤労意欲のある者に対する就労の支援を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業","船員の雇用の促進及び安定、船員に関する国際協力並びに日本商船隊の円滑な運営確保を図るため、外航基幹職員養成、船員雇用促進、船員技能訓練、開発途上国船員養成及び外国人船員技能講習を行う。","なし",""
"コウエキザイダンホウジン　オオカワジョウホウツウシンキキン","公益財団法人大川情報通信基金","公益財団法人","内閣府","102-0093","東京都","千代田区平河町一丁目8番2号　山京半蔵門パレス","03-3556-6028","安西　祐一郎","http://www.okawa-foundation.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","情報通信分野の振興・発展を目的とした顕彰ならびに研究助成事業","なし",""
"コウエキザイダンホウジンフクオカワイエムシーエー","公益財団法人福岡ＹＭＣＡ","公益財団法人","福岡県","814-0133","福岡県","福岡市城南区七隈１丁目１番１０号","092-831-1771","齊藤　皓彦","http://www.fukuoka-ymca.or.jp/","0401～0331","障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","青少年をはじめとする全ての人々が、健全な心身の発達と人格の向上を図り、平和で公正
な世界を目指すために、自然体験活動、スポーツ活動、国際教育事業、学童保育、リーダ
ーシップ養成等の事業を行う。","なし",""
"コウエキシャダンホウジンニホンヒフカガッカイ","公益社団法人日本皮膚科学会","公益社団法人","内閣府","113-0033","東京都","文京区本郷４丁目１番４号","03-3811-5099","藤本　学","https://www.dermatol.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","皮膚科学とその応用に関する研究、教育及び医療の推進を図るとともに、内外の関連団体との連携を促進することにより、皮膚科学の進歩普及を図り、もって学術文化の発展に寄与することを目的とする事業","なし",""
"コウエキザイダンホウジンホリカガクゲイジュツシンコウザイダン","公益財団法人堀科学芸術振興財団","公益財団法人","愛知県","461-0018","愛知県","名古屋市東区主税町４丁目４番２","052-856-6677","堀　誠","http://www.hori-foundation.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","自然科学に関する研究開発に対する助成等及び文化・芸術活動に対する支援、美術館の運営等を行うことによって、自然科学及び文化・芸術の振興を図り、地域社会の活力ある発展に寄与する。","なし",""
"アイチケンリガクリョウホウシカイ","公益社団法人愛知県理学療法士会","公益社団法人","愛知県","460-0002","愛知県","名古屋市中区丸の内三丁目１８番１号　三晃丸の内ビル６０１号室","052-972-6295","三宅　わか子","http://www.aichi-pt.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
高齢者の福祉の増進を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","愛知県内に勤務又は居住する理学療法士の学術技能を研鑽し、人的資質の向上をはかり、理学療法を通じて愛知県民の保険、医療及び福祉の発展に寄与することを目的とする。","なし",""
"コウエキザイダンホウジン　ワタナベザイダン","公益財団法人渡邉財団","公益財団法人","内閣府","810-0001","福岡県","福岡市中央区天神１丁目１３番１７号福岡天神１丁目ビル３階","092-724-3605","小谷　誠","https://watanabe-zaidan.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","公1）磁気健康科学に関する研究及び技術動向調査・研究に対する助成を行う　
公2）海外において自然科学や人文科学に関する学問及び研究を行う留学者に対して奨学助成を行う","あり","2023-10-18～2028-10-17"
"コウエキザイダンホウジンナカトウショウガクカイ","公益財団法人中董奨学会","公益財団法人","内閣府","150-0002","東京都","渋谷区渋谷１丁目４番１３号","03-3407-7113","中島　周","http://www.nakashima-foundation.org/scholarship/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業","国内の大学及び大学院の学生に対し奨学金の給与を行う","なし",""
"コウエキシャダンホウジンヤマナシカガクアカデミー","公益社団法人山梨科学アカデミー","公益社団法人","山梨県","400-0031","山梨県","甲府市丸の内１丁目６番１号山梨県庁私学・科学振興課内","055-223-1312","前田　秀一郎","http://www.tyaos1995.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","　科学の振興に係る研究の発表、情報の交換・提供など、科学に携わる人々の交流を促進し、研究を支援する活動を行うとともに、県民への科学に関する知識の啓蒙を行う。","あり","2025-02-27～2030-02-26"
"コウエキシャダンホウジンリュウキュウジビインコウカガクケンキュウシンコウカイ","公益社団法人琉球耳鼻咽喉科学研究振興会","公益社団法人","沖縄県","903-0125","沖縄県","中頭郡西原町字上原２０７番地臨床研究棟９１１号室","098-895-6070","糸数　哲郎","http://ent-ryukyu.jp/ryukyu/","0401～0331","学術及び科学技術の振興を目的とする事業","沖縄県地域における耳鼻咽喉科学領域に関する地域医療の発展と水準向上のため、調査・学術研究、医療技術の練磨向上を行う振興事業の推進と福祉活動並びに助成を行う。","あり","2023-08-25～2028-08-24"
"コウエキザイダンスハラキネンザイダン","公益財団法人寿原記念財団","公益財団法人","北海道","060-0061","北海道","札幌市中央区南一条西７丁目１２番地都市ビル　５階","011-281-4522","山本　邦彦","http;//suhara.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","北海道における科学技術の発展振興に寄与する事を目的とし自然科学の分野で優れた研究活動が期待され道内において研究を行っている個人、団体又はグループに助成金を給付する","なし",""
"コウエキシャダンホウジンノウギョウノウソンコウガッカイ","公益社団法人農業農村工学会","公益社団法人","内閣府","105-0004","東京都","港区新橋５丁目３４番４号","03-3436-3418","西村　拓","http://www.jsidre.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","非営利公益組織が公益活動を円滑に行えるように、学術・科学技術の調査・研究、研修、セミナー、優れた研究実績の奨励と表彰、技術指導、啓発及び広報などによる情報提供などを中心とした諸活動","なし",""
"コウエキザイダンホウジン　ヤマグチイクエイショウガクカイ","公益財団法人山口育英奨学会","公益財団法人","内閣府","949-5222","新潟県","長岡市小国町横沢８０２番地","0258-95-2002","山口　敬太郎","https://www.yamaguchi-esf.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業","育英奨学、学術研究助成、その他助成・支援および郷土資料館の管理・運営を通して学術および文化の振興に寄与することを目的とする事業","なし",""
"コウエキザイダンホウジンウエハラキネンセイメイカガクザイダン","公益財団法人上原記念生命科学財団","公益財団法人","内閣府","171-0033","東京都","豊島区高田３丁目２６番３号","03-3985-3500","上原　明","http://www.ueharazaidan.com/","0401～0331","学術及び科学技術の振興を目的とする事業","生命科学に関する分野の研究に対する助成、研究業績に対する褒賞、研究者の派遣及び招聘並びにそれらの助成、研究会・講演会及びシンポジウムの開催並びにその助成、研究成果の刊行及びその助成","なし",""
"コウエキシャダンホウジンフクイケンジュウイシカイ","公益社団法人福井県獣医師会","公益社団法人","福井県","910-0003","福井県","福井市松本３丁目１６番１０号福井県職員会館ビル","0776-28-1244","高木平光","http://fukuijuu.com","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業
児童又は青少年の健全な育成を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業","獣医医療及び獣医事の振興・普及を通じた畜産の振興、公衆衛生の向上、社会福祉の増進、飼育動物の保健衛生の向上、動物愛護・保護精神の涵養等人と動物が共生できる心豊かな社会を実現するための諸活動を行っている。","なし",""
"コウエキシャダンホウジンカガクギジュツコクサイコウリュウセンター","公益社団法人科学技術国際交流センター","公益社団法人","内閣府","101-0025","東京都","千代田区神田佐久間町３丁目３８番地","03-5825-9391","会長　相澤　益男","http://www.jistec.or.jp/index.html","0401～0331","学術及び科学技術の振興を目的とする事業","科学技術分野における内外の交流の促進、科学技術分野の研究及び研究者への助成並びに研究の促進を行うことにより、科学技術の振興を図るとともに国際社会に貢献する。","なし",""
"コウエキザイダンホウジンカワノエショウガクカイ","公益財団法人川之江奨学会","公益財団法人","愛媛県","799-0404","愛媛県","四国中央市三島宮川４丁目６番５５号","0896-28-6044","毛利　泰治郎","http://kawanoe.shikokuchuo.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業","四国中央市に居住する一般有為の子弟のうち、学術優秀、品行方正な学徒で経済的理由により、就学が困難なものに対し、奨学援護（奨学金の貸与）を行う。","なし",""
"コウエキザイダンホウジンオオツシコクサイシンゼンキョウカイ","公益財団法人大津市国際親善協会","公益財団法人","滋賀県","520-0047","滋賀県","大津市浜大津４丁目１番１号","077-525-4711","三上　征次","https://oiga.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","当協会は、市民の自発的な活動を主体として、諸外国との文化・歴史などの特性を生かした国際交流活動を推進し、市民の相互理解との友好を深め、多文化共生社会に適応した地域づくりに寄与する事業を行っている。","なし",""
"コウエキザイダンホウジンニシカワブンカザイダン","公益財団法人西川文化財団","公益財団法人","内閣府","523-0837","滋賀県","近江八幡市大杉町１７番地","0748-32-2909","西川　康行","https://nishikawabunkazaidan.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業","西川甚五郎家に伝来する近江商人に関する史料を広く学術研究並びに社会教育上の公益に供し、教育及び文化の発展と社会の健全な発展に寄与するとともに、睡眠に関する啓発を推進することにより、国民の健康と福祉の向上に寄与することを目的とする。","あり","2022-02-14～2027-02-13"
"コウエキザイダンホウジンヒョウゴケンコクサイコウリュウキョウカイ","公益財団法人兵庫県国際交流協会","公益財団法人","兵庫県","651-0073","兵庫県","神戸市中央区脇浜海岸通１丁目５番１号国際健康開発センター","078-230-3260","城　友美子","https://www.hyogo-ip.or.jp","0401～0331","児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","当協会は、多文化共生の社会づくりと県民主体の国際交流活動を促進するとともに、諸外国との相互理解と協力関係を深め、もって世界の人々と共に生きる国際性豊かな社会の創造に寄与することを目的とする事業を行う。","あり","2024-09-20～2029-09-19"
"コウエキシャダンホウジンニホンゲスイドウキョウカイ","公益社団法人日本下水道協会","公益社団法人","内閣府","101-0047","東京都","千代田区内神田２丁目１０番１２号内神田すいすいビル","03-6206-0260","岡久　宏史","https://www.jswa.jp","0401～0331","学術及び科学技術の振興を目的とする事業
公衆衛生の向上を目的とする事業
事故又は災害の防止を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業
地域社会の健全な発展を目的とする事業","下水道の経営及び技術に関する調査研究、下水道用器材・用品の規格研究及び検査・認証、
下水道に関する研修及び施策の調査、要望、提言並びに広報・啓発、下水道の経営及び技術
に関する国際交流等を行うこと。","なし",""
"コウエキザイダンホウジンハッコウケンキュウショ","公益財団法人発酵研究所","公益財団法人","内閣府","532-0024","大阪府","大阪市淀川区十三本町２丁目１７番８５号","06-6300-6555","中濱　一雄","https://www.ifo.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","微生物に関する研究を行っている研究者・研究機関に対して研究援助のひとつとして研究費の助成を行っている。","なし",""
"コウエキシャダンホウジンチャンスフォーチルドレン","公益社団法人チャンス・フォー・チルドレン","公益社団法人","内閣府","130-0013","東京都","墨田区錦糸１丁目１１番１号ノイエヤマザキ５階","03-5809-7394","今井　悠介","http://cfc.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","経済的な理由で教育を受けることができない児童等に対して、学校外教育で利用できるバウチャーを提供する事業を行っている。","あり","2023-12-14～2029-01-24"
"コウエキザイダンホウジンスイサンムセキツイドウブツケンキュウジョ","公益財団法人水産無脊椎動物研究所","公益財団法人","内閣府","104-0043","東京都","中央区京橋2-5-2","03-6263-0600","池田 友之","http://www.rimi.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","１．水産無脊椎動物の生体機能、生理活性物質、分類等に関する調査研究及びそれに対する助成、２．水産無脊椎動物の調査研究成果の普及啓発活動","なし",""
"イッパンザイダンホウジンアジアノウソンコウリュウキョウカイ","一般財団法人アジア農村交流協会","一般財団法人である移行法人","栃木県","329-2703","栃木県","那須塩原市槻沢420番地22那須セミナーハウス内","090-6041-3529","白石　雄治","","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","アジアの農村住民の地位と生活の向上を目的として、アジア農村における農村指導者になるための研修を受ける者に対し奨学金を支給","なし",""
"コウエキザイダンホウジンアツギシブンカシンコウザイダン","公益財団法人厚木市文化振興財団","公益財団法人","神奈川県","243-0032","神奈川県","厚木市恩名一丁目９番20号","046-225-2588","佐藤　彩子","https://atsugi-bunka.jp/","0401～0331","文化及び芸術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","優れた芸術文化をより多くの市民が享受できるよう様々な事業の企画・実施により、芸術文化創造の核となるひとづくりを進めるとともに、文化施設の管理運営等を通して豊かで潤いのある地域文化の形成と発展に寄与する","なし",""
"コウエキザイダンホウジン　ニュウカンキョウカイ","公益財団法人入管協会","公益財団法人","内閣府","101-0063","東京都","千代田区神田淡路町1丁目11番地3","03-6381-1985","中　尾　　巧","https://nyukan-kyokai.or.jp","0401～0331","犯罪の防止又は治安の維持を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業","出入国管理に関する知識の普及及び啓発活動を通じて、出入国管理行政の円滑かつ適正な運営に寄与","なし",""
"コウエキザイダンホウジンナイトウキネンカガクシンコウザイダン","公益財団法人内藤記念科学振興財団","公益財団法人","内閣府","113-0033","東京都","文京区本郷３丁目４２番６号ＮＫＤビル８階","03-3813-3005","内藤　晴夫","http://www.naito-f.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業
文化及び芸術の振興を目的とする事業","人類の疾病の予防と治療に関する自然科学の研究を奨励し、もって学術の振興および人類 の福祉に寄与することを目的とし、褒賞の授与、各種研究助成事業の実施、くすり博物館 での企画展などを実施する。","あり","2021-05-07～2026-05-06"
"コウエキシャダンホウジントウキョウトシカイシカイ","公益社団法人東京都歯科医師会","公益社団法人","東京都","102-8241","東京都","千代田区九段北４丁目１番２０号","03-3262-1146","井上　惠司","http://www.tokyo-da.org","0401～0331","障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業
地域社会の健全な発展を目的とする事業","都民の福祉と健康増進、地域社会の健全な発展を目的として、口腔保健啓発、事故・災害等の被害者支援、医療技術向上、都内歯科医師の事業基盤安定化及び不動産の貸与、会員の福利厚生事業等を行っている。","なし",""
"コウエキザイダンホウジン　カガクギジュツコウホウザイダン","公益財団法人科学技術広報財団","公益財団法人","内閣府","113-0033","東京都","文京区本郷七丁目2番2号本郷ＭＴビル3階","03-5817-4871","森口　泰孝","http://www.pcost.or.jp","0401～0331","学術及び科学技術の振興を目的とする事業","科学技術広報に関する調査研究及び刊行物等の編集及び頒布、科学技術に関する広報啓発並びに人材の育成を実施することにより科学技術の知識普及と振興に寄与する事業","なし",""
"イッパンザイダンホウジンコクサイカイハツキコウ","一般財団法人国際開発機構","一般財団法人である移行法人","内閣府","106-0041","東京都","港区麻布台２丁目４番５号メソニック３９MTビル６階","03-6809-1995","杉下　恒夫","http://www.fasid.or.jp","0401～0331","国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","本財団は、人材育成、調査研究、高等教育及び技術協力事業等を行い、国際開発を推進し、もって日本及び国際社会の発展に寄与することを目的とする。","なし",""
"コウエキザイダンホウジン　カセンザイダン","公益財団法人河川財団","公益財団法人","内閣府","103-0001","東京都","中央区日本橋小伝馬町１１番９号","03-5847-8301","小俣　篤","http://www.kasen.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
児童又は青少年の健全な育成を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
国土の利用、整備又は保全を目的とする事業","公益財団法人河川財団_kana","なし",""
"コウエキシャダンホウジンオキナワケンジュウイシカイ","公益社団法人沖縄県獣医師会","公益社団法人","沖縄県","900-0024","沖縄県","那覇市古波蔵１丁目２４番２８号","098-853-8001","棚原　憲実","http://www.okijyu.jp/","0401～0331","学術及び科学技術の振興を目的とする事業
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業
公衆衛生の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業","公益社団法人沖縄県獣医師会_kana","なし",""
"コウエキザイダンホウジンヒロシマヘイワソウゾウキキン","公益財団法人ヒロシマ平和創造基金","公益財団法人","内閣府","730-0854","広島県","広島市中区土橋町７番１号中国新聞ビル","082-234-0061","岡畠 鉄也","https://www.hiroshima-pcf.or.jp/","0401～0331","文化及び芸術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業","世界で初めて被爆体験をした広島市民の願いを継承し、平和活動に取り組む国内外の機関、団体との連携を進めながら、平和活動の推進及び国際協力と国際相互理解の増進を図るための事業を行う","あり","2024-12-23～2029-12-22"
"コウエキザイダンホウジンハットリショクブツケンキュウショ","公益財団法人服部植物研究所","公益財団法人","内閣府","889-2535","宮崎県","日南市飫肥６丁目１番２６号","0987-25-0110","南壽　敏郎","https://hattorilab.org/","0401～0331","学術及び科学技術の振興を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業","蘚苔・地衣植物の調査研究、調査研究に基づく資料収集整理及び研究成果の出版・普及","なし",""
"コウエキザイダンホウジンオクムラショウガクカイ","公益財団法人奥村奨学会","公益財団法人","大阪府","541-0054","大阪府","大阪市中央区南本町２丁目３番１２号","06-6268-3126","直川　雅俊","http://www.okumura.or.jp/","0401～0331","学術及び科学技術の振興を目的とする事業","大阪府下の学校（大学、高専、高校）に在学する学生等で学術優秀、品行方正でありながら経済的理由により修学が困難な者に対する奨学援助の事業。","なし",""
"コウエキシャダンホウジンフクオカケンカンコウレンメイ","公益社団法人福岡県観光連盟","公益社団法人","福岡県","812-0045","福岡県","福岡市博多区東公園７番７号","092-645-0019","竹島　和幸","http://www.crossroadfukuoka.jp","0401～0331","文化及び芸術の振興を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業","福岡県への観光客誘致促進、情報収集・提供及び観光基盤整備に関する事業を実施する。","なし",""
